City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,kapuskasing,49.4169,-82.4331,284.2,93,100,3.6,CA,1684870936
162,arvayheer,46.2639,102.775,277.64,78,100,11.18,MN,1684870936
163,palmer,42.1584,-72.3287,296.98,46,75,5.14,US,1684870937
164,port alfred,-33.5906,26.891,290.04,59,0,3.26,ZA,1684870937
165,forster,-32.1667,152.5167,282.67,65,4,1.92,AU,1684870938
166,potsdam,52.3989,13.0657,287.1,89,100,0.45,DE,1684870938
167,metairie,29.9841,-90.1528,305.93,51,40,3.6,US,1684870939
168,port macquarie,-31.4333,152.9167,278.65,78,18,2.15,AU,1684870939
169,sao gabriel da cachoeira,-0.1303,-67.0892,302.04,84,75,3.6,BR,1684870940
170,fiche,9.8,38.7333,286.64,60,90,1.06,ET,1684870940
171,lihue,21.9789,-159.3672,298.92,78,75,5.14,US,1684870941
172,khunti,23.0833,85.2833,301.21,36,77,1.96,IN,1684870941
173,kyren,51.6828,102.1408,279.62,86,35,0.85,RU,1684870708
174,booue,-0.0921,11.9385,297.32,96,94,1.17,GA,1684870942
175,angaur state,6.906,134.13,301.39,79,100,7.5,PW,1684870943
176,stanley,54.868,-1.6985,288.09,67,0,4.63,GB,1684870943
177,ivdel',60.6911,60.4206,286.24,77,65,0.64,RU,1684870943
178,sinaloa de leyva,25.8333,-108.2333,308.79,11,88,3.54,MX,1684870944
179,anadyr,64.75,177.4833,272.43,100,100,3.0,RU,1684870944
180,anatuya,-28.4606,-62.8347,299.43,70,85,5.22,AR,1684870945
181,sao joao da barra,-21.6403,-41.0511,296.2,83,94,5.36,BR,1684870654
182,zaozersk,69.4005,32.4476,288.99,58,68,3.21,RU,1684870945
183,weno,7.4515,151.8468,300.12,94,75,2.06,FM,1684870717
184,suzun,53.7841,82.3116,283.67,48,8,2.23,RU,1684870946
185,west island,-12.1568,96.8225,300.14,83,75,2.06,CC,1684870645
186,fortuna,40.5982,-124.1573,290.57,67,0,9.26,US,1684870947
187,delmas,18.5447,-72.3028,305.55,55,40,5.14,HT,1684870947
188,playas,-2.6333,-80.3833,298.9,79,100,3.16,EC,1684870948
189,klaksvik,62.2266,-6.589,282.66,82,73,13.58,FO,1684870948
190,urucara,-2.5364,-57.76,301.86,82,95,1.3,BR,1684870949
191,isafjordur,66.0755,-23.124,276.17,94,100,17.5,IS,1684870949
192,agat village,13.3886,144.6585,299.67,92,100,8.23,GU,1684870949
193,gadzhiyevo,69.2551,33.3362,288.49,59,32,5.71,RU,1684870733
194,chibougamau,49.9168,-74.3659,292.94,42,20,11.83,CA,1684870950
195,mishelevka,52.8575,103.1719,282.97,61,96,2.54,RU,1684870951
196,marka,1.7159,44.7717,299.82,86,99,5.94,SO,1684870951
197,susuman,62.7833,148.1667,275.77,99,100,0.93,RU,1684870749
198,ghat,24.9647,10.1728,302.58,24,89,2.35,LY,1684870952
199,petropavlovsk-kamchatsky,53.0452,158.6483,275.48,93,75,1.0,RU,1684870952
200,ventanas,-1.45,-79.4667,300.21,82,100,1.11,EC,1684870953
201,remire-montjoly,4.9167,-52.2667,301.17,78,75,4.63,GF,1684870953
202,nagqu,31.5,92.0,276.38,44,100,0.81,CN,1684870725
203,klyuchi,52.2667,79.1667,285.17,47,0,3.28,RU,1684870954
204,nguigmi,14.2495,13.1092,306.68,33,54,1.29,NE,1684870954
205,kirakira,-10.4544,161.9205,299.82,85,85,3.06,SB,1684870955
206,san patricio,28.017,-97.5169,305.2,50,17,4.51,US,1684870955
207,recani,31.2846,-4.2688,295.98,25,99,8.12,MA,1684870955
208,kokpekty,48.75,82.4,283.42,47,47,3.83,KZ,1684870956
209,queenstown,-31.8976,26.8753,283.47,44,0,2.52,ZA,1684870956
210,souillac,-20.5167,57.5167,296.36,88,40,2.06,MU,1684870957
211,basoko,1.2391,23.616,298.26,75,100,0.86,CD,1684870957
212,kolwezi,-10.7148,25.4667,290.26,72,6,2.41,CD,1684870958
213,ati,13.2154,18.3353,309.5,22,39,2.51,TD,1684870958
214,leavenworth,39.2333,-95.0336,301.54,39,15,1.79,US,1684870959
215,douglas,41.3,-96.167,301.64,39,0,4.63,US,1684870716
216,tuensang,26.2833,94.8333,291.42,90,94,1.14,IN,1684870959
